,POSTCODE,percentOver18,CategoryOver18,PercentOver65,CategoryOver65,NumberOfPeopleVaccinated,NumberOfPeopleVaccinatedCategory
88,85249,64.03,56-75,100.75,Greater Than 75,21290,"Greater Than 10,000"
89,85250,58.44,56-75,75.06,Greater Than 75,8727,"5,001-10,000"
90,85251,48.21,26-55,61.31,56-75,17551,"Greater Than 10,000"
91,85253,67.98,56-75,81.49,Greater Than 75,10838,"Greater Than 10,000"
92,85254,57.9,56-75,80.28,Greater Than 75,23222,"Greater Than 10,000"
93,85255,74.71,56-75,105.84,Greater Than 75,27193,"Greater Than 10,000"
94,85256,100,Greater Than 75,,0,1-10,1-10
95,85257,47.51,26-55,61.59,56-75,12488,"Greater Than 10,000"
96,85258,68.86,56-75,83.6,Greater Than 75,15248,"Greater Than 10,000"
97,85259,65.37,56-75,94.24,Greater Than 75,13078,"Greater Than 10,000"
98,85260,56.63,56-75,78.82,Greater Than 75,19758,"Greater Than 10,000"
99,85262,75.15,Greater Than 75,105.53,Greater Than 75,9071,"5,001-10,000"
100,85263,100.5,Greater Than 75,112.7,Greater Than 75,2999,"1,001-5,000"
101,85264,54.63,26-55,80.88,Greater Than 75,122,"11-1,000"
102,85266,71.72,56-75,102.11,Greater Than 75,7847,"5,001-10,000"
103,85268,61.02,56-75,86.39,Greater Than 75,13710,"Greater Than 10,000"
104,85281,35.66,26-55,60.66,56-75,22312,"Greater Than 10,000"
105,85282,44.65,26-55,64.92,56-75,20732,"Greater Than 10,000"
106,85283,44.17,26-55,71.34,56-75,16399,"Greater Than 10,000"
107,85284,64.99,56-75,96.57,Greater Than 75,10451,"Greater Than 10,000"
108,85286,53.99,26-55,80.89,Greater Than 75,20172,"Greater Than 10,000"
109,85287,,0,,0,32,"11-1,000"
110,85295,43.65,26-55,82.29,Greater Than 75,16550,"Greater Than 10,000"
111,85296,46.53,26-55,90.48,Greater Than 75,16402,"Greater Than 10,000"
112,85297,46.95,26-55,104.47,Greater Than 75,11544,"Greater Than 10,000"
113,85298,56.84,56-75,88.02,Greater Than 75,15956,"Greater Than 10,000"
114,85301,24.56,11-25,46.56,26-55,11074,"Greater Than 10,000"
115,85302,35.87,26-55,62.44,56-75,11235,"Greater Than 10,000"
116,85303,34.08,26-55,74.75,56-75,8842,"5,001-10,000"
117,85304,39.03,26-55,66.28,56-75,8954,"5,001-10,000"
118,85305,51.74,26-55,105.03,Greater Than 75,5396,"5,001-10,000"
119,85306,33.73,26-55,60.17,56-75,6821,"5,001-10,000"
120,85307,30,26-55,66.7,56-75,2435,"1,001-5,000"
121,85308,45.58,26-55,73.02,56-75,25070,"Greater Than 10,000"
122,85309,1,1-10,,0,1-10,1-10
123,85310,46.01,26-55,79.87,Greater Than 75,7461,"5,001-10,000"
124,85320,17.98,11-25,22.12,11-25,183,"11-1,000"
125,85321,65.03,56-75,78.09,Greater Than 75,1939,"1,001-5,000"
126,85322,25.96,26-55,54.31,26-55,158,"11-1,000"
127,85323,34.09,26-55,70.05,56-75,10253,"Greater Than 10,000"
128,85324,22.53,11-25,33.16,26-55,667,"11-1,000"
129,85325,3.87,1-10,3.39,1-10,1-10,1-10
130,85326,32.35,26-55,75.19,Greater Than 75,16405,"Greater Than 10,000"
131,85328,0.31,1-10,1.01,1-10,1-10,1-10
132,85329,30.17,26-55,57.78,56-75,465,"11-1,000"
133,85331,54.04,26-55,85.92,Greater Than 75,14772,"Greater Than 10,000"
134,85332,26.25,26-55,37.22,26-55,579,"11-1,000"
135,85333,31.62,26-55,41.01,26-55,205,"11-1,000"
136,85334,19.67,11-25,34.92,26-55,130,"11-1,000"
137,85335,33.81,26-55,79.04,Greater Than 75,8179,"5,001-10,000"
138,85336,27.08,26-55,38.93,26-55,3062,"1,001-5,000"
139,85337,38.16,26-55,86.49,Greater Than 75,775,"11-1,000"
140,85338,48.43,26-55,107.36,Greater Than 75,20492,"Greater Than 10,000"
141,85339,45.59,26-55,86.45,Greater Than 75,13392,"Greater Than 10,000"
142,85340,50.68,26-55,93.92,Greater Than 75,12332,"Greater Than 10,000"
143,85341,296.36,Greater Than 75,388,Greater Than 75,164,"11-1,000"
144,85342,27.58,26-55,54.42,26-55,389,"11-1,000"
145,85343,61.98,56-75,108,Greater Than 75,75,"11-1,000"
146,85344,40.41,26-55,63.08,56-75,2269,"1,001-5,000"
147,85345,34.74,26-55,54.81,26-55,17338,"Greater Than 10,000"
148,85346,38.17,26-55,43.14,26-55,1470,"1,001-5,000"
149,85347,29.76,26-55,35.07,26-55,158,"11-1,000"
150,85348,48.98,26-55,56.77,56-75,1394,"1,001-5,000"
151,85349,44.28,26-55,78.5,Greater Than 75,5160,"5,001-10,000"
152,85350,130.6,Greater Than 75,198.88,Greater Than 75,18756,"Greater Than 10,000"
153,85351,69.53,56-75,68.36,56-75,20482,"Greater Than 10,000"
154,85352,58.87,56-75,94.29,Greater Than 75,156,"11-1,000"
155,85353,39.58,26-55,80.12,Greater Than 75,10080,"Greater Than 10,000"
156,85354,20.42,11-25,38.79,26-55,1270,"1,001-5,000"
157,85355,42.35,26-55,82.52,Greater Than 75,3749,"1,001-5,000"
158,85356,33.7,26-55,46.46,26-55,1705,"1,001-5,000"
159,85357,0,0,0,0,0,0
160,85360,119.35,Greater Than 75,191.67,Greater Than 75,37,"11-1,000"
161,85361,24.84,11-25,44.35,26-55,1481,"1,001-5,000"
162,85362,22.28,11-25,32.32,26-55,162,"11-1,000"
163,85363,38.44,26-55,52.96,26-55,1977,"1,001-5,000"
164,85364,42.11,26-55,68.03,56-75,25328,"Greater Than 10,000"
