,POSTCODE,Total Population,Total Case Count,% Cases Over Age 18,% Cases Over Age 65,Total Cases Category,Total Vaccinated,Total      Vaccinated Category,Median Household Income
75,85209,41407,4870,50.45,84.17,Greater Than 1000,18240,"Greater Than 10,000",63568
76,85210,41073,5191,31.86,59.41,Greater Than 1000,9913,"5,001-10,000",43572
77,85212,37204,4851,48.95,106.13,Greater Than 1000,15700,"Greater Than 10,000",101788
78,85213,36916,3707,40.28,62.07,Greater Than 1000,11194,"Greater Than 10,000",70452
79,85215,16471,1717,58.39,82.07,Greater Than 1000,8120,"5,001-10,000",73488
80,85224,43834,5376,47.11,82.58,Greater Than 1000,17856,"Greater Than 10,000",73890
81,85225,70356,9440,40.48,72.54,Greater Than 1000,23377,"Greater Than 10,000",62155
82,85226,39157,3986,52.1,84.51,Greater Than 1000,17987,"Greater Than 10,000",85705
83,85233,35640,4397,45.49,78.48,Greater Than 1000,15073,"Greater Than 10,000",88092
84,85234,49056,5880,41.5,79.61,Greater Than 1000,16998,"Greater Than 10,000",85692
85,85248,35040,3318,69.71,84.3,Greater Than 1000,22851,"Greater Than 10,000",76457
86,85249,39618,4425,64.03,100.75,Greater Than 1000,21290,"Greater Than 10,000",114586
87,85250,17688,1552,58.44,75.06,Greater Than 1000,8727,"5,001-10,000",80157
88,85251,41102,5460,48.21,61.31,Greater Than 1000,17551,"Greater Than 10,000",64470
89,85253,18811,1674,67.98,81.49,Greater Than 1000,10838,"Greater Than 10,000",163750
90,85254,47185,4189,57.9,80.28,Greater Than 1000,23222,"Greater Than 10,000",94630
91,85255,43956,5107,74.71,105.84,Greater Than 1000,27193,"Greater Than 10,000",133044
93,85257,33392,3717,47.51,61.59,Greater Than 1000,12488,"Greater Than 10,000",62584
94,85258,25755,2343,68.86,83.6,Greater Than 1000,15248,"Greater Than 10,000",86148
95,85259,23364,1762,65.37,94.24,Greater Than 1000,13078,"Greater Than 10,000",112979
96,85260,39861,3990,56.63,78.82,Greater Than 1000,19758,"Greater Than 10,000",86746
97,85262,11872,879,75.15,105.53,501-1000,9071,"5,001-10,000",122273
98,85263,2907,145,100.5,112.7,101-500,2999,"1,001-5,000",103828
99,85264,1345,156,54.63,80.88,101-500,122,"11-1,000",64779
100,85266,13253,793,71.72,102.11,501-1000,7847,"5,001-10,000",145000
101,85268,25022,1623,61.02,86.39,Greater Than 1000,13710,"Greater Than 10,000",85344
102,85281,66833,8063,35.66,60.66,Greater Than 1000,22312,"Greater Than 10,000",38264
103,85282,55664,5963,44.65,64.92,Greater Than 1000,20732,"Greater Than 10,000",59339
104,85283,51495,5123,44.17,71.34,Greater Than 1000,16399,"Greater Than 10,000",65527
105,85284,19909,1636,64.99,96.57,Greater Than 1000,10451,"Greater Than 10,000",122583
106,85286,44885,5229,53.99,80.89,Greater Than 1000,20172,"Greater Than 10,000",106084
107,85295,47791,6109,43.65,82.29,Greater Than 1000,16550,"Greater Than 10,000",97472
108,85296,44564,5662,46.53,90.48,Greater Than 1000,16402,"Greater Than 10,000",96539
109,85297,33868,3921,46.95,104.47,Greater Than 1000,11544,"Greater Than 10,000",105064
110,85298,31593,4022,56.84,88.02,Greater Than 1000,15956,"Greater Than 10,000",112656
111,85301,68579,8257,24.56,46.56,Greater Than 1000,11074,"Greater Than 10,000",33497
112,85302,40186,5107,35.87,62.44,Greater Than 1000,11235,"Greater Than 10,000",47358
113,85303,35142,5570,34.08,74.75,Greater Than 1000,8842,"5,001-10,000",58433
114,85304,28113,3261,39.03,66.28,Greater Than 1000,8954,"5,001-10,000",66546
115,85305,13370,2321,51.74,105.03,Greater Than 1000,5396,"5,001-10,000",76690
116,85306,25520,2631,33.73,60.17,Greater Than 1000,6821,"5,001-10,000",65614
117,85307,11108,1263,30,66.7,Greater Than 1000,2435,"1,001-5,000",58380
118,85308,66706,6943,45.58,73.02,Greater Than 1000,25070,"Greater Than 10,000",78948
120,85310,20267,2073,46.01,79.87,Greater Than 1000,7461,"5,001-10,000",103578
121,85320,1207,111,17.98,22.12,101-500,183,"11-1,000",33229
122,85321,4009,385,65.03,78.09,101-500,1939,"1,001-5,000",36000
123,85322,670,85,25.96,54.31,11-100,158,"11-1,000",38063
124,85323,43968,6713,34.09,70.05,Greater Than 1000,10253,"Greater Than 10,000",53717
125,85324,2825,186,22.53,33.16,101-500,667,"11-1,000",37410
126,85325,1288,11,3.87,3.39,11-100,1-10,1-10,49375
127,85326,63317,9673,32.35,75.19,Greater Than 1000,16405,"Greater Than 10,000",63060
128,85328,367,40,0.31,1.01,11-100,1-10,1-10,38824
129,85331,30727,2492,54.04,85.92,Greater Than 1000,14772,"Greater Than 10,000",106401
130,85332,1747,48,26.25,37.22,11-100,579,"11-1,000",42370
131,85333,565,63,31.62,41.01,11-100,205,"11-1,000",46103
132,85334,1160,38,19.67,34.92,11-100,130,"11-1,000",35469
133,85335,35333,4644,33.81,79.04,Greater Than 1000,8179,"5,001-10,000",58216
134,85336,510,1238,27.08,38.93,Greater Than 1000,3062,"1,001-5,000",44271
135,85337,2626,264,38.16,86.49,101-500,775,"11-1,000",31090
136,85338,50122,7382,48.43,107.36,Greater Than 1000,20492,"Greater Than 10,000",78397
137,85339,47958,7005,45.59,86.45,Greater Than 1000,13392,"Greater Than 10,000",76170
138,85340,35316,3786,50.68,93.92,Greater Than 1000,12332,"Greater Than 10,000",93374
139,85341,0,18,296.36,388,11-100,164,"11-1,000",-
140,85342,1637,109,27.58,54.42,101-500,389,"11-1,000",45530
141,85343,205,28,61.98,108,11-100,75,"11-1,000",67750
142,85344,10495,1334,40.41,63.08,Greater Than 1000,2269,"1,001-5,000",40580
143,85345,57351,7940,34.74,54.81,Greater Than 1000,17338,"Greater Than 10,000",53383
144,85346,4248,204,38.17,43.14,101-500,1470,"1,001-5,000",21810
145,85347,608,37,29.76,35.07,11-100,158,"11-1,000",31406
146,85348,2537,200,48.98,56.77,101-500,1394,"1,001-5,000",41154
147,85349,31488,3688,44.28,78.5,Greater Than 1000,5160,"5,001-10,000",37343
148,85350,22593,9843,130.6,198.88,Greater Than 1000,18756,"Greater Than 10,000",38416
149,85351,28528,2272,69.53,68.36,Greater Than 1000,20482,"Greater Than 10,000",39779
150,85352,500,36,58.87,94.29,11-100,156,"11-1,000",31652
151,85353,42801,7433,39.58,80.12,Greater Than 1000,10080,"Greater Than 10,000",70543
152,85354,7719,627,20.42,38.79,501-1000,1270,"1,001-5,000",62833
153,85355,12998,1332,42.35,82.52,Greater Than 1000,3749,"1,001-5,000",91533
154,85356,5191,492,33.7,46.46,101-500,1705,"1,001-5,000",48578
156,85360,128,1-10,119.35,191.67,1-10,37,"11-1,000",53750
157,85361,6368,552,24.84,44.35,501-1000,1481,"1,001-5,000",62250
158,85362,739,24,22.28,32.32,11-100,162,"11-1,000",40893
159,85363,6802,1158,38.44,52.96,Greater Than 1000,1977,"1,001-5,000",40781
160,85364,74333,12717,42.11,68.03,Greater Than 1000,25328,"Greater Than 10,000",43314
161,85365,50865,6903,43.14,61.07,Greater Than 1000,17731,"Greater Than 10,000",53131
162,85367,22897,1939,47.59,58.18,Greater Than 1000,9027,"5,001-10,000",49112
163,85373,19360,1567,59.26,69.31,Greater Than 1000,9890,"5,001-10,000",54958
164,85374,48430,3795,59.99,86.85,Greater Than 1000,21211,"Greater Than 10,000",58127
165,85375,29452,1847,78.14,77.92,Greater Than 1000,21931,"Greater Than 10,000",54535
166,85377,3333,242,95.9,140.17,101-500,2439,"1,001-5,000",77500
167,85379,47663,5501,40.97,100.39,Greater Than 1000,13575,"Greater Than 10,000",80758
168,85381,24997,3115,45.61,70.83,Greater Than 1000,9928,"5,001-10,000",77068
169,85382,38890,4335,49.55,74.08,Greater Than 1000,17420,"Greater Than 10,000",72756
170,85383,55327,6949,57.05,113.09,Greater Than 1000,26971,"Greater Than 10,000",114830
171,85387,10512,1608,59.02,89.19,Greater Than 1000,8273,"5,001-10,000",71449
172,85388,30817,3223,41.27,104.56,Greater Than 1000,8735,"5,001-10,000",80906
173,85390,9314,771,42.87,72.93,501-1000,3812,"1,001-5,000",50009
174,85392,39054,5448,38.58,79.05,Greater Than 1000,11673,"Greater Than 10,000",68663
175,85395,30491,3961,55.8,100.02,Greater Than 1000,16754,"Greater Than 10,000",90017
176,85396,20905,3224,59.63,127.88,Greater Than 1000,13060,"Greater Than 10,000",89919
177,85501,12805,1333,35.58,53.31,Greater Than 1000,3960,"1,001-5,000",46944
179,85531,323,20,51.01,113.16,11-100,101,"11-1,000",76354
180,85533,3361,184,45.92,69.97,101-500,1086,"1,001-5,000",49713
181,85534,2753,112,33.12,54.09,101-500,776,"11-1,000",49976
182,85536,440,17,29.81,60,11-100,112,"11-1,000",60694
183,85539,4424,368,43.69,72.54,101-500,1518,"1,001-5,000",45206
184,85540,3380,274,48.01,50,101-500,1149,"1,001-5,000",72934
185,85541,21661,1892,44.53,64.49,Greater Than 1000,9428,"5,001-10,000",46401
187,85543,3552,1135,51.6,83.03,Greater Than 1000,1475,"1,001-5,000",43895
188,85544,2763,197,57.36,69.63,101-500,1459,"1,001-5,000",53456
189,85545,540,21,40.82,56,11-100,249,"11-1,000",24034
190,85546,20610,3155,29.05,59.31,Greater Than 1000,4423,"1,001-5,000",50865
192,85552,6671,681,34.97,71.14,501-1000,1705,"1,001-5,000",59650
193,85553,1791,116,54.98,83.22,101-500,629,"11-1,000",40373
194,85554,581,15,30.8,50.69,11-100,162,"11-1,000",32375
195,85601,723,32,46.99,73.8,11-100,336,"11-1,000",30977
196,85602,9051,668,36.73,59.85,501-1000,3525,"1,001-5,000",40154
197,85603,6887,476,64.83,93.47,101-500,3708,"1,001-5,000",35268
